id,question,answer_text,doc_id,article_no,page_start,page_end
qa_001,ما هي التعويض؟,"المادة السابعة
 تعقد  اجتماعات  المجلس  في  مقر  الهيئة  برئاسة  رئيس
	
.1
 المجلس أو من ينيبه، ويجوز عند االقتضاء عقدها في مكان
 .آخر داخل المملكة
 يعقد المجلس اجتماعاته بصفة دورية أربع مرات في السنة
	
.2
 على  األقل،  ولرئيس  المجلس  الدعوة  لالجتماع  متى  دعت
.الحاجة إلى ذلك أو متى طلب ذلك (ثالثة أعضاء) على األقل
 يكون  اجتماع  المجلس  صحيحًا  إذا  حضره  أغلبية  األعضاء
	
.3
 بمن  فيهم  رئيس  المجلس  أو  من  ينيبه،  وتصدر  القرارات
 بأغلبية أصوات الحاضرين، وفي حالة تساوي األصوات يرجح
.الجانب ",Statute of the Nuclear and Radiation Control Authority,السابعة,0,0
qa_002,ما هي أحكام المطالبة؟,"المادة األولى
 - أينما وردت في هذا النظام-يقصد بالكلمات والعبارات اآلتية
:المعاني المبينة أمام كل منها، ما لم يقتض السياق غير ذلك
.المملكة العربية السعودية	
:المملكة
 نظام الرقابة على االستخدامات النووية	
:النظام
.واإلشعاعية
.الالئحة التنفيذية للنظام
	:الالئحة
.هيئة الرقابة النووية واإلشعاعية
	:الهيئة
 النظام، والالئحة، وتنظيم الهيئة، وغيرها
	:أنظمة الهيئة
 من اللوائح والقرارات التي تصدرها الهيئة
 .تنفيذا ألحكام النظام
.الوكالة الدولية للطاقة الذرية
	:الوكالة
 أو
، 233-اليورانيوم
أو 
البلوتونيوم",Law of Nuclear and Radiation Control,األولى,0,0
qa_003,ما هي شروط الفحوصات الطبية؟,"المادة الخامسة
 ّ ل  من  رئيس  يعين  بأمر
يكون  للهيئة  مجلس  إدارة  يشك
	
.1
 ملكي،  والرئيس  التنفيذي  للهيئة،  وخمسة  أعضاء  من
 المتخصصين وذوي الخبرة في المجاالت ذات العالقة بعمل
   بناء  على  اقتراح-  الهيئة  يعينون  بقرار  من  مجلس  الوزراء
  لمدة ثالث سنوات قابلة للتجديد مرة-من رئيس المجلس
 واحدة. ويحدد الرئيس نائبًا له يحل محلة عند غيابه، على أال
.يكون الرئيس التنفيذي للهيئة
  بقرار من-  عدا الرئيس التنفيذي- تحدد مكافآت األعضاء
	
.2
.مجلس الوزراء

تنظيم هيئة الرقابة النووية واإلشعاعية
14",Statute of the Nuclear and Radiation Control Authority,الخامسة,0,0
qa_004,ما هي متطلبات التأمين؟,"السياسة الوطنية لبرنامج الطاقة الذرية
في المملكة العربية السعودية



السياسة الوطنية لبرنامج الطاقة الذرية في المملكة العربية السعودية
4
:مقدمة
 تعمل  المملكة  العربية  السعودية  على  االنتقال  من  اقتصاد
 يعتمد  على  الموارد  النفطية  إلى  اقتصاد  متنوع  ومنتج  يقوم
 على مبادئ االستدامة، والتنافسية، والعدالة، والشفافية، وتوفير
 مناخ  استثماري  واضح  المعالم،  من  أجل  التنمية  االقتصادية
.واالجتماعية، وحماية المكاسب الوطنية وتنميتها
 ومن التحديات التي يواجهها قطاع الطاقة في المملكة، الزيادة
 ،ّ",National Policy for the Atomic Energy Program,,0,0
qa_005,ما هي متطلبات المراجعة؟,"المادة السادسة
 يتولى  المجلس  اإلشراف  على  إدارة  شؤون  الهيئة  وتصريف
 أمورها،  ويتخذ  جميع  القرارات  الالزمة  لتحقيق  أهدافها  وفقًا
:ألنظمتها، وله بوجه خاص ما يأتي
.اإلشراف على تنفيذها المهمات المنوطة بها
	
.1
 إقرار  السياسات  العامة  المتعلقة  بنشاطها،  والخطط
	
.2
.والبرامج الالزمة لتحقيقها
 ،اقتراح  مشروعات  األنظمة  ذات  العالقة  باختصاصاتها
	
.3
 واقتراح تعديل المعمول به منها، ورفعها العتمادها وفق
.اإلجراءات النظامية المتبعة
 .إقرار اللوائح اإلدارية والمالية وغيرها من اللوائح الداخلي",Statute of the Nuclear and Radiation Control Authority,السادسة,0,0
qa_006,ما هي متطلبات الفحوصات الطبية؟,"المادة الأولى - السياسة العامة للطاقة النووية
هذا المستند عام ومتاح لجميع المستخدمين. يحتوي على معلومات عامة حول سياسة الطاقة النووية في المملكة.

تشمل السياسة:
- الأهداف العامة للطاقة النووية
- المعايير العامة للأمان
- الإطار التنظيمي العام",Public Nuclear Energy Policy,1,0,0
qa_007,ما هو دور المحكمة في حماية البيئة؟,"المادة الثامنة
 ،يكون  للهيئة  رئيس  تنفيذي  يعين  ويعفى  بقرار  من  المجلس
 ويحدد  القرار  راتبه  ومزاياه  المالية،  ويعد  المسؤول  عن  إدارة
 شؤون الهيئة، وتتركز مسؤولياته في حدود ما يقرره المجلس
:وما ينص عليه التنظيم، ويتولى االختصاصات والمهمات اآلتية
 اإلشراف  على  سير  العمل  في  الهيئة  من  خالل  اللوائح
	
.1
 .والخطط والبرامج المعتمدة
 اقتراح السياسات العامة المتعلقة بنشاط الهيئة، والخطط
	
.2
 والبرامج  الالزمة  لتنفيذها،  ورفعها  إلى  المجلس،  ومتابعة
.تنفيذها بعد إقرارها من المجلس
.تعيي",Statute of the Nuclear and Radiation Control Authority,الثامنة,0,0
qa_008,كيف يتم تطبيق تقييم المخاطر؟,"المادة التاسعة
:تتكون موارد الهيئة المالية مما يأتي
	
.1
.ما يخصص لها في الميزانية العامة للدولة
	
أ.
 	 المقابل المالي الذي تتحصل عليه نظير التراخيص التي
ب.
.تصدرها والخدمات واألعمال التي تقدمها
.	 أي مورد آخر يقره المجلس
جـ.
 تودع أموالها في حساب جاري وزارة المالية في مؤسسة
	
.2
 النقد  العربي  السعودي،  ويصرف  من  هذه  األموال  وفق
.ميزانيتها المعتمدة",Statute of the Nuclear and Radiation Control Authority,التاسعة,0,0
qa_009,ما هي شروط التوثيق؟,"المادة الثانية
 تتمتع  الهيئة  بالشخصية  االعتبارية  العامة  واالستقالل  المالي
 واإلداري، وترتبط تنظيميًا برئيس مجلس الوزراء، ويكون مقرها
 ً ا ومكاتب داخل
الرئيس في مدينة الرياض، ولها أن تنشئ فروع
.المملكة",Statute of the Nuclear and Radiation Control Authority,الثانية,0,0
qa_010,ما هي إجراءات دفع التعويضات؟,"المادة األولى
 -أينما وردت في هذا النظام- يقصد بالكلمات والعبارات اآلتية
:ِ السياق غير ذلك
ًّ منها، ما لم يقتض
المعاني المبينة أمام كل
.المملكة العربية السعودية
	:المملكة
.حكومة المملكة العربية السعودية
	:الحكومة
 نظام  المسؤولية  المدنية  عن  األضرار
	:النظام
.النووية
.الالئحة التنفيذية للنظام
	:الالئحة
.هيئة الرقابة النووية واإلشعاعية
	:الهيئة
 م  الخاصة1963  اتفاقية  فيينا  لعام
	:االتفاقية
 بالمسؤولية  القانونية  المدنية  عن  الضرر
 النووي، وبروتوكول تعديلها المبرم عام
 .م1997
.المسؤولية الم",Law of Civil Liability for Nuclear Damage,األولى,0,0
qa_011,ما هي شروط الترخيص؟,"مادة  مشعة  إلى  المملكة  أو  إخراجها
 .منها
 	 الفعل  أو  الظرف  المؤدي  إلى  التعرض:التعرض اإلشعاعي
 .لإلشعاعات المؤينة
 اإلشعاع القادر على إنتاج أزواجٍ من األيونات
	:اإلشعاع المؤين
.في المواد البيولوجية
 مستند نظامي تصدره الهيئة ويمنح إذنًا
	:الترخيص
.ُ حددة
بأداء نشاط أو ممارسة م
 الشخص  الحائز  على  ترخيص  ساري
	:المرخص له
 .المفعول
 .أي شخص ذي صفة طبيعية أو اعتبارية
	:الشخص
 أي مرفق تجرى فيه أنشطة أو ممارسات
	:المرفق النووي
 تستخدم فيها مواد نووية، ويشمل ذلك
 ،محطة الطاقة النووية، ومفاعل ا",Law of Nuclear and Radiation Control,مشعة,0,0
qa_012,ما هي متطلبات التأمين؟,"المادة الأولى - إدارة النفايات النووية المقيدة السري
هذا المستند سري ومقيد ويحتوي على معلومات حساسة حول إدارة النفايات النووية عالية الخطورة. الوصول مقيد للمستشارين القانونيين ومديري النظام فقط.

المحتويات تشمل:
- مواقع التخزين السرية
- بروتوكولات النقل المحمية
- إجراءات التخلص الآمن",Confidential Restricted Nuclear Waste Management,1,0,0
qa_013,ما هو التقادم؟,"المادة الثانية عشرة
  خالل تسعين يومًا من- ترفع الهيئة إلى رئيس مجلس الوزراء
  تقريرًا سنويًا عما حققته من إنجازات- تاريخ انتهاء السنة المالية
 وما واجهها من صعوبات وما تراه من مقترحات؛ لحسن سير
.العمل فيها",Statute of the Nuclear and Radiation Control Authority,الثانية,0,0
qa_014,كيف يتم مراقبة الإشعاع؟,"مادة مشعة مختومة بصفة دائمة في
	:المصدر المشع
 كبسولة أو مربوطة بإحكام وفي شكل
 .صلب
 مولد  إشعاعات،  أو  مصدر  مشع  أو  أي
	:المصدر اإلشعاعي",Law of Nuclear and Radiation Control,مشعة,0,0
qa_015,ما هي الأمن النووي؟,"المادة (الحادية والعشرين) من النظام، على أساس أن كل حادث
.نووي على حدة بصرف النظر عن عدد المشغلين المسؤولين
:المادة الحادية عشرة
 مع مراعاة ما ورد في المادة (العاشرة) من النظام، إذا كانت
 ٍٍ  تابعة  لمشغل  واحد  أطرافًا  في  حادث
عدة  منشآت  نووية
 نووي  واحد؛  فإن  المشغل  يتحمل  مسؤولية  التعويض  في
 )حدود  مبلغ  المسؤولية  وفقًا  للمادتين  (الحادية  والعشرين
 و(الثانية والعشرين) من النظام لكل منشأة على حدة، وتتحمل
  الفرق-ً بموجب التزام منها
متى ما كانت مسؤولة- الحكومة
 بين مجموع حدود مسؤولية",Law of Civil Liability for Nuclear Damage,(الحادية,0,0
qa_016,ما هي الضمان المالي؟,"المادة الرابعة
 تكون  الهيئة  نقطة  االتصال  الوطنية  فيما  يتعلق  باالتفاقيات
   ذات  الصلة-  التي  تكون  المملكة  طرفًا  فيها-  والمعاهدات
.باختصاصاتها",Statute of the Nuclear and Radiation Control Authority,الرابعة,0,0
qa_017,ما هو تعريف التعرض الإشعاعي؟,"مادة  مشعة  أخرى  خارج  دورة  الوقود
 النووي  لمفاعالت  األبحاث  ومفاعالت
 .الطاقة
 مصدر مشع ال يخضع لرقابة الهيئة إما ألنه	
:المصدر اليتيم
 لم يسبق له الخضوع لمثل هذه الرقابة، أو
 ألنه ترك أو فقد أو سحب أو سرق، أو تم
.تداوله عن طريق االتجار غير المشروع

15
 	 وقود  نووي  تم  تشعيعه  في  قلب:الوقود المستهلك
 .مفاعل نووي وأخرج منه نهائيًا
 إجراءات  التحقق  والتفتيش  والرقابة
	:الضمانات النووية
 والمساعدة الفنية التي تقوم بها الوكالة؛
 لضمان  عدم  تحويل  المواد  النووية  أو
 والمعدات
والتجهيزات 
ا",Law of Nuclear and Radiation Control,مشعة,0,0
qa_018,ما هو دور المراقبون في إدارة النفايات؟,"المادة الرابعة عشرة
 يخضع منسوبو الهيئة ألحكام نظام العمل ونظام التأمينات
.االجتماعية",Statute of the Nuclear and Radiation Control Authority,الرابعة,0,0
qa_019,ما هي الأمان النووي؟,"المادة الخامسة عشرة
 ينشر هذا التـنظيم في الجريدة الرسمية، ويعمل به من تاريخ
.نشره



تنظيم هيئة الرقابة النووية واإلشعاعية
هـ1439/6/25 ) بتاريخ334( قرار مجلس الوزراء رقم
المملكة العربية السعودية",Statute of the Nuclear and Radiation Control Authority,الخامسة,0,0
qa_020,ما هو دور المحكمة في ضمان الأمان؟,"المادة األولى
   أينما  وردت  في  هذا-يقصد  بالكلمات  والمصطلحات  اآلتية
  المعاني المبينة أمام كل منها، ما لم يقتض السياق-التنظيم
:غير ذلك
.المملكة العربية السعودية
	
المملكة:
.هيئة الرقابة النووية واإلشعاعية	
:الهيئة
.مجلس إدارة الهيئة	
:المجلس
.تـنظيم الهيئة	
:التـنظيم
 نظام الرقابة على االستخدامات النووية	
:أنظمة الهيئة
 واإلشعاعية  والئحته  التنفيذية،  واللوائح
 ،والقرارات  التي  تصدرها  الهيئة  لتنفيذه
 .بما في ذلك التنظيم
.الوكالة الدولية للطاقة الذرية
	
الوكالة:
 أو
، 233-اليورانيوم
أو 
",Statute of the Nuclear and Radiation Control Authority,األولى,0,0
qa_021,ما هو دور المشغل في ضمان الأمان؟,"المادة الأولى - بروتوكول الأمان النووي المقيد
هذا المستند يحتوي على معلومات حساسة حول بروتوكولات الأمان النووي المتقدمة. هذه المعلومات مقيدة للوصول من قبل المستشارين القانونيين ومديري النظام فقط.

تشمل هذه البروتوكولات:
- إجراءات الطوارئ المتقدمة
- معايير الأمان السرية
- بروتوكولات التفتيش الداخلية",Restricted Nuclear Safety Protocol,1,0,0
qa_022,ما هو المطالبة؟,"المادة الثالثة عشرة
 مع عدم اإلخالل باختصاص ديوان المراقبة العامة بالرقابة على
 حسابات  الهيئة  وعملياتها،  يعين  المجلس  مراجع  حسابات
 خارجيًا (أو أكثر) من المرخص لهم بالعمل في المملكة، لتدقيق
 حساباتها  ومعامالتها  وبياناتها  وميزانيتها  السنوية  وحسابها
 الختامي، ويحدد المجلس أتعابه. ويرفع تقرير مراجع الحسابات
.إلى المجلس، ويزود ديوان المراقبة العامة بنسخة منه",Statute of the Nuclear and Radiation Control Authority,الثالثة,0,0
qa_023,ما هي شروط المؤهلات؟,"المادة 
إخراج 
	:رفع الرقابة
 اإلشعاعي الخاضعين للنظام من الرقابة
 المفروضة عليهما من الهيئة؛ النخفاض
 التعرض اإلشعاعي الناتج عنهما بدرجة ال
 .تتطلب الرقابة
 	 عمليات التفكيك وإزالة التلوث اإلشعاعي:اإلخراج من الخدمة
 - والخطوات التي تؤدي إلى إعفاء مرفق
 . من رقابة الهيئة- ما عدا مرفق التخلّص
 ُ ستهلك  أو  النفايات
وضع  الوقود  الم
	:التخلص
 ُ شعة بشكل دائم أو طويل األمد في
الم
 .مرفق مستوف للشروط
 االستبعاد المتعمد لفئة معينة من فئات
	:االستبعاد
 التعرض  اإلشعاعي  من  نطاق  النظام
 .على أساس أنه",Law of Nuclear and Radiation Control,إخراج,0,0
qa_024,ما هي إجراءات دفع التعويضات؟,"المادة العاشرة
 تكون للهيئة ميزانية سنوية مستقلة تصدر وفقًا لترتيبات
	
.1
.إصدار الميزانية العامة للدولة
 السنة المالية للهيئة هي السنة المالية للدولة، واستثناء من
	
.2
 ،ذلك تبدأ السنة المالية األولى من تاريخ نفاذ هذا التنظيم
.وتنتهي بنهاية السنة المالية التالية للدولة",Statute of the Nuclear and Radiation Control Authority,العاشرة,0,0
qa_025,ما هي إجراءات مراقبة المنشآت؟,"المادة المشعة:
 سواء  منفردة  بنفسها  أو  ضمن  معدات
 أخرى ومصنفة على أنها خاضعة لرقابة
 الهيئة،  ويدخل  ضمنها  المواد  المشعة
.طبيعيًا
 حماية  اإلنسان  والبيئة  من  المخاطر
	
األمان:
 اإلشعاعية،  وأمان  المرافق  واألنشطة
.التي تنشأ عنها تلك المخاطر
 منع  أو  كشف  أي  سرقة  أو  تخريب  أو
	
األمن:
 وصول غير مأذون به أو نقل غير مشروع
 (أو  أي  فعل  إجرامي  آخر)  لمواد  نووية
 ومتعلقاتها  أو  مواد  مشعة  أو  للمرافق
.المرتبطة بها
 إنتاج  مواد  مشعة  أو  مواد  نووية  أو
	
األنشطة:
 متعلقاتها،  أو  ا",Statute of the Nuclear and Radiation Control Authority,المشعة:,0,0
qa_026,ما هو دور المراقبون في حماية البيئة؟,"المادة الحادية عشرة
 ترفع الهيئة إلى مجلس الوزراء حسابها الختامي خالل تسعين
 يومًا من تاريخ انتهاء السنة المالية، ويزود ديوان المراقبة العامة
.بنسخة منه

19",Statute of the Nuclear and Radiation Control Authority,الحادية,0,0
qa_027,ما هي أحكام التقادم؟,"مادة  مشعة  إلى  المملكة  أو  إخراجها
.منها
 	 الفعل  أو  الظرف  المؤدي  إلى  التعرض
التعرض اإلشعاعي:
.لإلشعاعات المؤينة
 اإلشعاع القادر على إنتاج أزواجٍ من األيونات
	
اإلشعاع المؤين:
.في المواد البيولوجية
 أي مرفق تجرى فيه أنشطة أو ممارسات
	
المرفق النووي:
 تستخدم فيها مواد نووية، ويشمل ذلك
 ،محطة الطاقة النووية، ومفاعل البحوث
 ومرافق  صناعة  المواد  النووية،  ومرافق
 تخزين  الوقود  المستهلك،  ومحطة
 التخصيب، ومرافق إعادة المعالجة، وأي
 مرفق  آخر  بحسب  ما  هو  معرف  في
 اتفاق الضمانات النووية ",Statute of the Nuclear and Radiation Control Authority,مشعة,0,0
qa_028,ما هو المنشأة النووية؟,"المادة الثالثة
 تهدف الهيئة إلى تـنظيم األنشطة والممارسات والمرافق التي
 تنطوي على االستخدامات السلمية للطاقة النووية واإلشعاعات
 المؤينة، ومراقبة وضمان األمان واألمن والضمانات النووية لتلك
 االستخدامات، وحماية اإلنسان والبيئة من أي تعرض إشعاعي
 ،فعلي أو محتمل، بما في ذلك التعرض لإلشعاعات الطبيعية
 وتنفيذ التزامات المملكة بموجب المعاهدات واالتفاقيات ذات
:الصلة باختصاصها، وتتولى المهمات واالختصاصات اآلتية
 وضع السياسات واللوائح التي تكفل الرقابة على األنشطة
	
.1
.والممارسات والمرافق
 ،وضع  اللوائ",Statute of the Nuclear and Radiation Control Authority,الثالثة,0,0
qa_029,ما هي الضمان المالي؟,"



",National Policy for Radioactive Waste Management,,0,0
